zone_id,class_id,tipo_intervencion,area_m2,area_ha,volumen_m3,prioridad
6793,5,Manejo urbano,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6794,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6795,4,Retención / almacenamiento puntual,365.1637060383395,0.036516370603833954,2.538899660348008,Baja
6796,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6797,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6798,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6799,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6800,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6801,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6802,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6803,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6804,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6805,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6806,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6807,1,Conservación hídrica,1095.491118043831,0.10954911180438309,7.6166989805490735,Baja
6808,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6809,1,Conservación hídrica,2921.309648021966,0.2921309648021966,20.31119728080426,Baja
6810,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6811,4,Retención / almacenamiento puntual,1095.4911180082024,0.10954911180082025,7.616698980301356,Baja
6812,1,Conservación hídrica,730.3274120054567,0.07303274120054568,5.077799320200824,Baja
6813,1,Conservación hídrica,730.3274120054567,0.07303274120054568,5.077799320200824,Baja
6814,1,Conservación hídrica,730.3274120054567,0.07303274120054568,5.077799320200824,Baja
6815,1,Conservación hídrica,730.3274120054567,0.07303274120054568,5.077799320200824,Baja
6816,4,Retención / almacenamiento puntual,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6817,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6818,4,Retención / almacenamiento puntual,730.3274120054219,0.07303274120054219,5.077799320200582,Baja
6819,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6820,4,Retención / almacenamiento puntual,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6821,4,Retención / almacenamiento puntual,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6822,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6823,4,Retención / almacenamiento puntual,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6824,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6825,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6826,4,Retención / almacenamiento puntual,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6827,4,Retención / almacenamiento puntual,730.3274120054219,0.07303274120054219,5.077799320200582,Baja
6828,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6829,1,Conservación hídrica,2921.3096480572817,0.2921309648057282,20.3111972810498,Baja
6830,4,Retención / almacenamiento puntual,1095.4911180082024,0.10954911180082025,7.616698980301356,Baja
6831,5,Manejo urbano,1095.4911180081676,0.10954911180081676,7.616698980301114,Baja
6832,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6833,4,Retención / almacenamiento puntual,1460.6548240109134,0.14606548240109135,10.155598640401648,Baja
6834,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6835,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6836,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6837,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6838,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6839,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6840,1,Conservación hídrica,2921.3096480218965,0.29213096480218964,20.31119728080378,Baja
6841,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6842,1,Conservación hídrica,365.1637060383395,0.036516370603833954,2.538899660348008,Baja
6843,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6844,5,Manejo urbano,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6845,4,Retención / almacenamiento puntual,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6846,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6847,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6848,1,Conservación hídrica,365.1637060383395,0.036516370603833954,2.538899660348008,Baja
6849,5,Manejo urbano,1460.6548240109482,0.14606548240109482,10.15559864040189,Baja
6850,1,Conservación hídrica,4381.964472104032,0.43819644721040324,30.466795921700616,Baja
6851,1,Conservación hídrica,1825.8185300136938,0.1825818530013694,12.69449830050242,Baja
6852,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6853,1,Conservación hídrica,1825.8185300137286,0.18258185300137286,12.694498300502662,Baja
6854,5,Manejo urbano,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6855,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6856,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6857,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6858,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6859,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6860,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6861,5,Manejo urbano,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6862,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6863,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6864,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6865,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6866,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6867,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6868,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6869,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6870,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
